company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2023-001,0000066740,MMM,3M,0000066740-24-000016,2023,2024-02-07,1.0.3,0.3.0,2.9181578947368423,2.965,0.7244084892377908,1.81,4.5,38,63,25,0.6031746031746031,35,18,warning_stem_collisions
S2023-002,0000091142,AOS,A. O. Smith,0000091142-24-000041,2023,2024-02-13,1.0.3,0.3.0,2.674583333333333,2.385,0.7427593776288224,1.63,4.25,24,24,0,1.0,21,0,success
S2023-003,0000874761,AES,AES Corporation,0000874761-24-000011,2023,2024-02-26,1.0.3,0.3.0,3.009152542372881,2.93,0.6746456399048977,1.62,4.7,59,77,18,0.7662337662337663,40,12,warning_stem_collisions
S2023-004,0001841666,APA,APA Corporation,0001784031-24-000003,2023,2024-02-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2023-005,0000732717,T,AT&T,0000732717-24-000009,2023,2024-02-23,1.0.3,0.3.0,2.8270212765957448,2.81,0.7298467192430611,1.52,4.5,47,62,15,0.7580645161290323,39,10,warning_stem_collisions
S2023-006,0001551152,ABBV,AbbVie,0001551152-24-000011,2023,2024-02-20,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2023-007,0000001800,ABT,Abbott Laboratories,0001628280-24-005348,2023,2024-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2023-008,0001467373,ACN,Accenture,0001467373-23-000324,2023,2023-10-12,1.0.3,0.3.0,2.877951582867784,2.74,0.7996297405990895,1.3,4.93,537,715,178,0.7510489510489511,282,108,warning_stem_collisions
S2023-009,0000796343,ADBE,Adobe Inc.,0000796343-24-000006,2023,2024-01-17,1.0.3,0.3.0,2.9264532019704435,2.685,0.8802314769789025,1.3,4.93,1218,1719,501,0.7085514834205934,503,319,warning_stem_collisions
S2023-010,0000002488,AMD,Advanced Micro Devices,0000002488-24-000012,2023,2024-01-31,1.0.3,0.3.0,2.958604427333975,2.89,0.8561961652323883,1.3,5.0,1039,1597,558,0.6505948653725736,440,277,warning_stem_collisions
S2023-011,0000004977,AFL,Aflac,0000004977-24-000053,2023,2024-02-22,1.0.3,0.3.0,2.8989655172413795,2.785,0.8047888771236676,1.63,4.72,58,87,29,0.6666666666666666,42,16,warning_stem_collisions
S2023-012,0001090872,A,Agilent Technologies,0001090872-23-000020,2023,2023-12-20,1.0.3,0.3.0,2.862352941176471,2.9,0.752877065285247,1.3,4.69,68,84,16,0.8095238095238095,50,10,warning_stem_collisions
S2023-013,0000002969,APD,Air Products,0000002969-23-000047,2023,2023-11-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2023-014,0001559720,ABNB,Airbnb,0001559720-24-000006,2023,2024-02-16,1.0.3,0.3.0,2.788048780487805,2.62,0.8015905515003345,1.3,4.93,574,783,209,0.7330779054916986,313,137,warning_stem_collisions
S2023-015,0001086222,AKAM,Akamai Technologies,0001086222-24-000040,2023,2024-02-28,1.0.3,0.3.0,2.7027272727272726,2.59,0.7312889108104814,1.63,4.57,33,43,10,0.7674418604651163,29,10,warning_stem_collisions
S2023-016,0000915913,ALB,Albemarle Corporation,0000915913-24-000016,2023,2024-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2023-017,0001035443,ARE,Alexandria Real Estate Equities,0001035443-24-000072,2023,2024-01-29,1.0.3,0.3.0,2.781555555555556,2.63,0.8177610505535643,1.63,4.55,45,62,17,0.7258064516129032,31,16,warning_stem_collisions
