company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2023-001,0000066740,MMM,3M,0000066740-24-000016,2023,2024-02-07,1,2,0.03152684510860998,1,0.00035932446999640676,63438,2783,success
S2023-002,0000091142,AOS,A. O. Smith,0000091142-24-000041,2023,2024-02-13,1,3,0.11166530186853271,2,0.0012894906511927789,26866,1551,success
S2023-003,0000874761,AES,AES Corporation,0000874761-24-000011,2023,2024-02-26,1,5,0.04687968796879688,4,0.0007964954201513341,106656,5022,success
S2023-004,0001841666,APA,APA Corporation,0001784031-24-000003,2023,2024-02-22,0,0,0.0,0,0.0,61622,2856,success
S2023-005,0000732717,T,AT&T,0000732717-24-000009,2023,2024-02-23,1,6,0.1338449183545998,4,0.0016481252575195715,44828,2427,success
S2023-006,0001551152,ABBV,AbbVie,0001551152-24-000011,2023,2024-02-20,0,0,0.0,0,0.0,47238,2470,success
S2023-007,0000001800,ABT,Abbott Laboratories,0001628280-24-005348,2023,2024-02-16,0,0,0.0,0,0.0,38051,2018,success
S2023-008,0001467373,ACN,Accenture,0001467373-23-000324,2023,2023-10-12,1,35,0.8634939432067698,31,0.014839636189564385,40533,2089,success
S2023-009,0000796343,ADBE,Adobe Inc.,0000796343-24-000006,2023,2024-01-17,1,121,2.580947911778508,80,0.0346470333477696,46882,2309,success
S2023-010,0000002488,AMD,Advanced Micro Devices,0000002488-24-000012,2023,2024-01-31,1,105,2.08689430377231,71,0.031724754244861486,50314,2238,success
S2023-011,0000004977,AFL,Aflac,0000004977-24-000053,2023,2024-02-22,1,6,0.07416105308695384,4,0.0009514747859181732,80905,4204,success
S2023-012,0001090872,A,Agilent Technologies,0001090872-23-000020,2023,2023-12-20,1,5,0.08449371366770313,4,0.0013679890560875513,59176,2924,success
S2023-013,0000002969,APD,Air Products,0000002969-23-000047,2023,2023-11-16,0,0,0.0,0,0.0,50412,2718,success
S2023-014,0001559720,ABNB,Airbnb,0001559720-24-000006,2023,2024-02-16,1,66,0.7865757734661772,37,0.012005191434133679,83908,3082,success
S2023-015,0001086222,AKAM,Akamai Technologies,0001086222-24-000040,2023,2024-02-28,1,3,0.06367534066307255,2,0.000966183574879227,47114,2070,success
S2023-016,0000915913,ALB,Albemarle Corporation,0000915913-24-000016,2023,2024-02-15,0,0,0.0,0,0.0,78547,3600,success
S2023-017,0001035443,ARE,Alexandria Real Estate Equities,0001035443-24-000072,2023,2024-01-29,1,5,0.0527749044774229,3,0.0007253384912959381,94742,4136,success
S2023-018,0001097149,ALGN,Align Technology,0001097149-24-000011,2023,2024-02-28,1,20,0.40018408467895233,16,0.007032967032967033,49977,2275,success
S2023-019,0001579241,ALLE,Allegion,0001579241-24-000006,2023,2024-02-20,1,9,0.22373589220901904,4,0.0020151133501259445,40226,1985,success
S2023-020,0000352541,LNT,Alliant Energy,0000352541-24-000014,2023,2024-02-16,1,1,0.01829357529635592,1,0.0003694126339120798,54664,2707,success
S2023-021,0000899051,ALL,Allstate,0000899051-24-000013,2023,2024-02-21,1,3,0.03431669736104597,1,0.0002166377816291161,87421,4616,success
S2023-022,0001652044,GOOGL|GOOG,Alphabet Inc. (Class A)|Alphabet Inc. (Class C),0001652044-24-000022,2023,2024-01-31,1,122,2.768825745540375,87,0.037403267411865865,44062,2326,success
S2023-023,0000764180,MO,Altria,0000764180-24-000018,2023,2024-02-27,1,3,0.04652461151949381,3,0.001051156271899089,64482,2854,success
S2023-024,0001018724,AMZN,Amazon,0001018724-24-000008,2023,2024-02-02,1,15,0.42054502635415497,12,0.006822057987492893,35668,1759,success
S2023-025,0001748790,AMCR,Amcor,0001748790-23-000030,2023,2023-08-17,0,0,0.0,0,0.0,42675,1961,success
S2023-026,0001002910,AEE,Ameren,0001002910-24-000056,2023,2024-02-29,1,2,0.02184169142058361,2,0.00047732696897374703,91568,4190,success
S2023-027,0000006201,AAL,American Airlines Group,0000006201-24-000010,2023,2024-02-21,0,0,0.0,0,0.0,87883,3918,success
S2023-028,0000004904,AEP,American Electric Power,0000004904-24-000020,2023,2024-02-26,0,0,0.0,0,0.0,115326,6697,success
S2023-029,0000004962,AXP,American Express,0000004962-24-000013,2023,2024-02-09,1,33,0.4394667803065614,16,0.00515630035449565,75091,3103,success
S2023-030,0000005272,AIG,American International Group,0000005272-24-000023,2023,2024-02-14,1,29,0.2288817155079201,20,0.003207184092366902,126703,6236,success
S2023-031,0001053507,AMT,American Tower,0001053507-24-000011,2023,2024-02-27,1,2,0.02942517912577793,2,0.0006775067750677507,67969,2952,success
S2023-032,0001410636,AWK,American Water Works,0001410636-24-000050,2023,2024-02-14,0,0,0.0,0,0.0,83561,3446,success
S2023-033,0000820027,AMP,Ameriprise Financial,0000820027-24-000015,2023,2024-02-22,1,11,0.12687281576913761,8,0.0017925162446784674,86701,4463,success
S2023-034,0001037868,AME,Ametek,0001037868-24-000009,2023,2024-02-22,0,0,0.0,0,0.0,31641,1809,success
S2023-035,0000318154,AMGN,Amgen,0000318154-24-000011,2023,2024-02-14,1,4,0.05173038125290983,4,0.0010985992859104642,77324,3641,success
S2023-036,0000820313,APH,Amphenol,0001558370-24-000866,2023,2024-02-07,1,5,0.0772487099465439,3,0.0011645962732919255,64726,2576,success
S2023-037,0000006281,ADI,Analog Devices,0000006281-23-000203,2023,2023-11-21,1,2,0.04365287235900122,2,0.0009411764705882353,45816,2125,success
S2023-038,0000315293,AON,Aon plc,0001628280-24-005392,2023,2024-02-16,1,3,0.05694760820045558,3,0.0011862396204033216,52680,2529,success
S2023-039,0000320193,AAPL,Apple Inc.,0000320193-23-000106,2023,2023-11-03,1,2,0.08196721311475409,1,0.000777000777000777,24400,1287,success
S2023-040,0000006951,AMAT,Applied Materials,0000006951-23-000041,2023,2023-12-15,1,10,0.25820444628056494,8,0.004282655246252677,38729,1868,success
S2023-041,0001521332,APTV,Aptiv,0001521332-24-000011,2023,2024-02-06,1,6,0.08945877441479051,5,0.0016661112962345886,67070,3001,success
S2023-042,0000947484,ACGL,Arch Capital Group,0000947484-24-000020,2023,2024-02-23,1,50,0.4764990660618305,37,0.007701915070774354,104932,4804,success
S2023-043,0000007084,ADM,Archer Daniels Midland,0000007084-24-000009,2023,2024-03-12,1,3,0.057535192359326456,3,0.0011098779134295228,52142,2703,success
S2023-044,0001596532,ANET,Arista Networks,0001596532-24-000043,2023,2024-02-13,1,89,1.4253683536194748,62,0.024096385542168676,62440,2573,success
S2023-045,0000354190,AJG,Arthur J. Gallagher & Co.,0000950170-24-013370,2023,2024-02-09,1,29,0.2859960552268245,25,0.0060931026078479165,101400,4103,success
S2023-046,0001267238,AIZ,Assurant,0001267238-24-000008,2023,2024-02-15,1,15,0.19637106276019164,11,0.0031527658354829464,76386,3489,success
S2023-047,0000731802,ATO,Atmos Energy,0000731802-23-000028,2023,2023-11-14,0,0,0.0,0,0.0,33446,1837,success
S2023-048,0000866787,AZO,AutoZone,0001558370-23-016668,2023,2023-10-24,0,0,0.0,0,0.0,40848,2011,success
S2023-049,0000769397,ADSK,Autodesk,0000769397-23-000036,2023,2023-03-14,1,16,0.2935295088884404,11,0.004305283757338552,54509,2555,success
S2023-050,0000008670,ADP,Automatic Data Processing,0000008670-23-000030,2023,2023-08-03,1,44,1.1760617967016813,34,0.01951779563719862,37413,1742,success
S2023-051,0000915912,AVB,AvalonBay Communities,0000915912-24-000004,2023,2024-02-23,1,1,0.02063216967896344,1,0.000449034575662326,48468,2227,success
S2023-052,0000008818,AVY,Avery Dennison,0000008818-24-000003,2023,2024-02-21,1,2,0.04892248232675326,2,0.0009915716410510659,40881,2017,success
S2023-053,0001069183,AXON,Axon Enterprise,0001069183-24-000006,2023,2024-02-27,1,23,0.3766601706434338,17,0.0061283345349675555,61063,2774,success
S2023-054,0001037540,BXP,"BXP, Inc.",0001656423-24-000007,2023,2024-02-27,0,0,0.0,0,0.0,95528,4288,success
S2023-055,0001701605,BKR,Baker Hughes,0001701605-24-000033,2023,2024-02-05,1,11,0.22311015556862665,6,0.00247320692497939,49303,2426,success
S2023-056,0000009389,BALL,Ball Corporation,0001558370-24-001349,2023,2024-02-20,0,0,0.0,0,0.0,52817,2557,success
S2023-057,0000070858,BAC,Bank of America,0000070858-24-000122,2023,2024-02-20,1,16,0.14854426619132502,8,0.001634320735444331,107712,4895,success
S2023-058,0001390777,BK,Bank of New York Mellon,0001390777-24-000051,2023,2024-02-28,0,0,0.0,0,0.0,6368,535,success
S2023-059,0000701985,BBWI,"Bath & Body Works, Inc.",0000701985-23-000008,2023,2023-03-17,0,0,0.0,0,0.0,40138,2046,success
S2023-060,0000010456,BAX,Baxter International,0001628280-24-003932,2023,2024-02-08,1,3,0.043618598970601066,2,0.000676132521974307,68778,2958,success
S2023-061,0000010795,BDX,Becton Dickinson,0000010795-23-000098,2023,2023-11-21,1,1,0.021930305489155463,1,0.00042716787697565144,45599,2341,success
S2023-062,0001067983,BRK-B,Berkshire Hathaway,0000950170-24-019719,2023,2024-02-26,0,0,0.0,0,0.0,86022,4225,success
S2023-063,0000764478,BBY,Best Buy,0000764478-23-000006,2023,2023-03-17,1,1,0.02730300879156883,1,0.0005299417064122947,36626,1887,success
S2023-064,0000012208,BIO,Bio-Rad Laboratories,0000012208-24-000013,2023,2024-02-16,0,0,0.0,0,0.0,34551,1694,success
S2023-065,0000842023,TECH,Bio-Techne,0001558370-23-015226,2023,2023-08-23,0,0,0.0,0,0.0,51034,2273,success
S2023-066,0000875045,BIIB,Biogen,0000875045-24-000009,2023,2024-02-14,1,5,0.055439133375467076,4,0.0008604000860400087,90189,4649,success
S2023-067,0001393818,BX,Blackstone Inc.,0001193125-24-044485,2023,2024-02-23,1,30,0.30618806070688614,20,0.0038483740619588225,97979,5197,success
S2023-068,0000012927,BA,Boeing,0000012927-24-000010,2023,2024-01-31,1,1,0.021467519642780472,1,0.0004158004158004158,46582,2405,success
S2023-069,0001075531,BKNG,Booking Holdings,0001075531-24-000014,2023,2024-02-22,1,18,0.3179594071823497,14,0.005374280230326296,56611,2605,success
S2023-070,0000908255,BWA,BorgWarner,0000908255-24-000007,2023,2024-02-08,0,0,0.0,0,0.0,49427,2386,success
S2023-071,0000885725,BSX,Boston Scientific,0000885725-24-000017,2023,2024-02-20,1,4,0.06528693608408957,2,0.0007233273056057866,61268,2765,success
S2023-072,0000014272,BMY,Bristol Myers Squibb,0000014272-24-000044,2023,2024-02-13,0,0,0.0,0,0.0,64387,3176,success
S2023-073,0001730168,AVGO,Broadcom,0001730168-23-000096,2023,2023-12-14,1,7,0.14341911162104573,5,0.0020946795140343527,48808,2387,success
S2023-074,0001383312,BR,Broadridge Financial Solutions,0001383312-23-000037,2023,2023-08-08,1,3,0.06543931594101736,2,0.0009319664492078285,45844,2146,success
S2023-075,0000079282,BRO,Brown & Brown,0000950170-24-018890,2023,2024-02-22,0,0,0.0,0,0.0,66764,2726,success
S2023-076,0000014693,BF-B,Brown–Forman,0000014693-23-000074,2023,2023-06-16,0,0,0.0,0,0.0,35477,1923,success
S2023-077,0001316835,BLDR,Builders FirstSource,0000950170-24-018584,2023,2024-02-22,0,0,0.0,0,0.0,55090,2334,success
S2023-078,0001996862,BG,Bunge Global,0001996862-24-000007,2023,2024-02-22,1,1,0.013784547522227584,1,0.00030627871362940275,72545,3265,success
S2023-079,0001043277,CHRW,C.H. Robinson,0001043277-24-000011,2023,2024-02-16,1,15,0.4314063848144953,8,0.0043859649122807015,34770,1824,success
S2023-080,0001138118,CBRE,CBRE Group,0001138118-24-000006,2023,2024-02-20,0,0,0.0,0,0.0,56215,2403,success
S2023-081,0001402057,CDW,CDW Corporation,0001402057-24-000015,2023,2024-02-26,1,13,0.3751478948431593,8,0.004321988114532685,34653,1851,success
S2023-082,0001324404,CF,CF Industries,0001324404-24-000008,2023,2024-02-22,0,0,0.0,0,0.0,66867,3078,success
S2023-083,0001156375,CME,CME Group,0001156375-24-000010,2023,2024-02-28,1,6,0.12846590300824323,5,0.002053388090349076,46705,2435,success
S2023-084,0000811156,CMS,CMS Energy,0000811156-24-000044,2023,2024-02-08,1,1,0.01886080724254998,1,0.0003518648838845883,53020,2842,success
S2023-085,0000277948,CSX,CSX Corporation,0000277948-24-000010,2023,2024-02-14,1,1,0.026025400791172184,1,0.0003852080123266564,38424,2596,success
S2023-086,0000064803,CVS,CVS Health,0000064803-24-000007,2023,2024-02-07,1,4,0.03553976010661928,3,0.00065302568567697,112550,4594,success
S2023-087,0000813672,CDNS,Cadence Design Systems,0000813672-24-000034,2023,2024-02-14,1,42,0.8293511314719008,31,0.013146734520780322,50642,2358,success
S2023-088,0001590895,CZR,Caesars Entertainment,0001590895-24-000051,2023,2024-02-20,0,0,0.0,0,0.0,60717,2855,success
S2023-089,0000906345,CPT,Camden Property Trust,0000906345-24-000007,2023,2024-02-22,1,2,0.0641210605623417,1,0.000630119722747322,31191,1587,success
S2023-090,0000016732,CPB,Campbell's,0000016732-23-000109,2023,2023-09-21,1,1,0.02732912464813752,1,0.0005022601707684581,36591,1991,success
