company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2021-001,0000066740,MMM,3M,0000066740-22-000010,2021,2022-02-09,1.0.3,0.3.0,2.7972,2.745,0.7136695033417079,1.78,4.65,50,72,22,0.6944444444444444,36,11,warning_stem_collisions
S2021-002,0000091142,AOS,A. O. Smith,0000091142-22-000028,2021,2022-02-11,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-003,0000874761,AES,AES Corporation,0000874761-22-000022,2021,2022-02-28,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-004,0001841666,APA,APA Corporation,0001784031-22-000009,2021,2022-02-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-005,0000732717,T,AT&T,0000732717-22-000015,2021,2022-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-006,0001551152,ABBV,AbbVie,0001551152-22-000007,2021,2022-02-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-007,0000001800,ABT,Abbott Laboratories,0001104659-22-025141,2021,2022-02-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-008,0001467373,ACN,Accenture,0001467373-21-000229,2021,2021-10-15,1.0.3,0.3.0,2.9033333333333333,2.77,0.7555920839735321,1.63,4.93,177,228,51,0.7763157894736842,111,41,warning_stem_collisions
S2021-009,0000796343,ADBE,Adobe Inc.,0000796343-22-000032,2021,2022-01-21,1.0.3,0.3.0,3.0885533453887883,2.93,0.8993222711214826,1.3,4.9,553,784,231,0.7053571428571429,241,146,warning_stem_collisions
S2021-010,0001158449,AAP,Advance Auto Parts,0001158449-21-000036,2021,2021-02-22,1.0.3,0.3.0,3.0327272727272727,2.94,0.6419301988263906,1.93,4.5,11,19,8,0.5789473684210527,10,3,warning_stem_collisions
S2021-011,0000002488,AMD,Advanced Micro Devices,0000002488-22-000016,2021,2022-02-03,1.0.3,0.3.0,3.24979020979021,3.14,0.8209652075892034,1.62,4.7,143,221,78,0.6470588235294118,77,23,warning_stem_collisions
S2021-012,0000004977,AFL,Aflac,0000004977-22-000058,2021,2022-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-013,0001090872,A,Agilent Technologies,0001090872-21-000027,2021,2021-12-17,1.0.3,0.3.0,3.0445,2.98,0.7844359438475522,1.75,4.69,40,47,7,0.851063829787234,37,3,warning_stem_collisions
S2021-014,0000002969,APD,Air Products,0000002969-21-000055,2021,2021-11-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-015,0001086222,AKAM,Akamai Technologies,0001086222-22-000058,2021,2022-02-28,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-016,0000766421,ALK,Alaska Air Group,0000766421-22-000009,2021,2022-02-11,1.0.3,0.3.0,3.328421052631579,3.24,0.8135255513594404,2.03,4.67,19,22,3,0.8636363636363636,19,1,warning_stem_collisions
S2021-017,0000915913,ALB,Albemarle Corporation,0000915913-22-000027,2021,2022-02-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-018,0001035443,ARE,Alexandria Real Estate Equities,0001035443-22-000040,2021,2022-01-31,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-019,0001097149,ALGN,Align Technology,0001097149-22-000011,2021,2022-02-25,1.0.3,0.3.0,2.99375,2.875,0.8607255297131601,1.8,5.0,24,37,13,0.6486486486486487,24,8,warning_stem_collisions
S2021-020,0001579241,ALLE,Allegion,0001579241-22-000019,2021,2022-02-15,1.0.3,0.3.0,2.986923076923077,2.93,0.722489122786204,2.21,4.64,13,18,5,0.7222222222222222,13,3,warning_stem_collisions
S2021-021,0000352541,LNT,Alliant Energy,0000352541-22-000020,2021,2022-02-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-022,0000899051,ALL,Allstate,0000899051-22-000015,2021,2022-02-18,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-023,0001652044,GOOGL|GOOG,Alphabet Inc. (Class A)|Alphabet Inc. (Class C),0001652044-22-000019,2021,2022-02-02,1.0.3,0.3.0,2.922314049586777,2.82,0.9342984819847311,1.3,4.83,121,160,39,0.75625,96,24,warning_stem_collisions
S2021-024,0000764180,MO,Altria,0000764180-22-000019,2021,2022-02-25,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2021-025,0001018724,AMZN,Amazon,0001018724-22-000005,2021,2022-02-04,1.0.3,0.3.0,3.004196428571429,3.14,0.7320807410496579,1.5,4.37,112,159,47,0.7044025157232704,61,38,warning_stem_collisions
S2021-026,0001748790,AMCR,Amcor,0001748790-21-000031,2021,2021-08-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
