company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2024-001,0000066740,MMM,3M,0000066740-25-000006,2024,2025-02-05,1,8,0.12325896708985579,6,0.0021156558533145277,64904,2836,success
S2024-002,0000091142,AOS,A. O. Smith,0000091142-25-000036,2024,2025-02-11,1,3,0.1063867513032377,2,0.0012399256044637321,28199,1613,success
S2024-003,0000874761,AES,AES Corporation,0000874761-25-000013,2024,2025-03-11,1,10,0.09156335268372187,8,0.0015763546798029558,109214,5075,success
S2024-004,0001841666,APA,APA Corporation,0002040266-25-000007,2024,2025-02-28,0,0,0.0,0,0.0,60823,2851,success
S2024-005,0000732717,T,AT&T,0000732717-25-000013,2024,2025-02-12,1,12,0.2829988444213853,7,0.0030381944444444445,42403,2304,success
S2024-006,0001551152,ABBV,AbbVie,0001551152-25-000020,2024,2025-02-14,1,5,0.10092854259184497,4,0.0015552099533437014,49540,2572,success
S2024-007,0000001800,ABT,Abbott Laboratories,0001628280-25-007110,2024,2025-02-21,0,0,0.0,0,0.0,37415,1989,success
S2024-008,0001467373,ACN,Accenture,0001467373-24-000278,2024,2024-10-10,1,70,1.6341776584568695,54,0.02471395881006865,42835,2185,success
S2024-009,0000796343,ADBE,Adobe Inc.,0000796343-25-000004,2024,2025-01-13,1,160,3.3110527078202927,108,0.046173578452330055,48323,2339,success
S2024-010,0000002488,AMD,Advanced Micro Devices,0000002488-25-000012,2024,2025-02-05,1,158,3.305024473915408,104,0.048417132216014895,47806,2148,success
S2024-011,0000004977,AFL,Aflac,0000004977-25-000047,2024,2025-02-26,1,6,0.0762417881240708,5,0.0012309207287050715,78697,4062,success
S2024-012,0001090872,A,Agilent Technologies,0001090872-24-000049,2024,2024-12-20,1,23,0.3658691779078646,18,0.005808325266214908,62864,3099,success
S2024-013,0000002969,APD,Air Products,0000002969-24-000056,2024,2024-11-21,1,1,0.019327032720666396,1,0.00037064492216456633,51741,2698,success
S2024-014,0001559720,ABNB,Airbnb,0001559720-25-000010,2024,2025-02-13,1,79,1.3619750362043996,48,0.020134228187919462,58004,2384,success
S2024-015,0001086222,AKAM,Akamai Technologies,0001086222-25-000028,2024,2025-02-24,1,29,0.595543690317281,17,0.007866728366496992,48695,2161,success
S2024-016,0000915913,ALB,Albemarle Corporation,0000915913-25-000026,2024,2025-02-12,0,0,0.0,0,0.0,82010,3718,success
S2024-017,0001035443,ARE,Alexandria Real Estate Equities,0001035443-25-000067,2024,2025-01-27,1,11,0.10705387729679228,8,0.0009527212099559367,102752,8397,success
S2024-018,0001097149,ALGN,Align Technology,0001097149-25-000012,2024,2025-02-28,1,30,0.5747787101965743,24,0.010238907849829351,52194,2344,success
S2024-019,0001579241,ALLE,Allegion,0001579241-25-000008,2024,2025-02-18,1,5,0.12461369753763334,3,0.0015267175572519084,40124,1965,success
S2024-020,0000352541,LNT,Alliant Energy,0000352541-25-000014,2024,2025-02-21,1,1,0.017491997411184384,1,0.0003671071953010279,57169,2724,success
S2024-021,0000899051,ALL,Allstate,0000899051-25-000015,2024,2025-02-24,1,9,0.10816007691383248,7,0.0015808491418247517,83210,4428,success
S2024-022,0001652044,GOOGL|GOOG,Alphabet Inc. (Class A)|Alphabet Inc. (Class C),0001652044-25-000014,2024,2025-02-05,1,124,2.741300791440067,96,0.04074702886247878,45234,2356,success
S2024-023,0000764180,MO,Altria,0000764180-25-000019,2024,2025-02-26,1,6,0.08643540394145442,6,0.0019274012206874397,69416,3113,success
S2024-024,0001018724,AMZN,Amazon,0001018724-25-000004,2024,2025-02-07,1,21,0.5955588327046879,16,0.009096077316657191,35261,1759,success
S2024-025,0001748790,AMCR,Amcor,0001748790-24-000022,2024,2024-08-16,1,1,0.022708692887637386,1,0.0004952947003467063,44036,2019,success
S2024-026,0001002910,AEE,Ameren,0001002910-25-000055,2024,2025-02-18,1,6,0.0670510929328148,5,0.00127000254000508,89484,3937,success
S2024-027,0000004904,AEP,American Electric Power,0000004904-25-000027,2024,2025-02-13,1,1,0.008257365570088519,1,0.00014639145073927682,121104,6831,success
S2024-028,0000004962,AXP,American Express,0000004962-25-000016,2024,2025-02-07,1,51,0.6558220279045843,29,0.009171410499683744,77765,3162,success
S2024-029,0000005272,AIG,American International Group,0000005272-25-000012,2024,2025-02-13,1,32,0.3524694893598273,22,0.00470286447199658,90788,4678,success
S2024-030,0001053507,AMT,American Tower,0001053507-25-000025,2024,2025-02-25,1,5,0.07071035623877472,5,0.001589825119236884,70711,3145,success
S2024-031,0001410636,AWK,American Water Works,0001410636-25-000022,2024,2025-02-19,0,0,0.0,0,0.0,83480,3450,success
S2024-032,0000820027,AMP,Ameriprise Financial,0000820027-25-000013,2024,2025-02-20,1,11,0.13788780946411783,6,0.0014357501794687725,79775,4179,success
S2024-033,0001037868,AME,Ametek,0001037868-25-000012,2024,2025-02-20,0,0,0.0,0,0.0,31109,1837,success
S2024-034,0000318154,AMGN,Amgen,0000318154-25-000010,2024,2025-02-14,1,28,0.34539331663932304,16,0.004223864836325237,81067,3788,success
S2024-035,0000820313,APH,Amphenol,0001558370-25-000714,2024,2025-02-07,1,10,0.14904240256352932,8,0.0031067961165048546,67095,2575,success
S2024-036,0000006281,ADI,Analog Devices,0000006281-24-000204,2024,2024-11-26,1,33,0.7488257051442057,25,0.012297097884899164,44069,2033,success
S2024-037,0000315293,AON,Aon plc,0001628280-25-006093,2024,2025-02-18,1,10,0.17915367802500987,8,0.002967359050445104,55818,2696,success
S2024-038,0001858681,APO,Apollo Global Management,0001858681-25-000034,2024,2025-02-24,1,19,0.15969875771176895,13,0.0024114264514932295,118974,5391,success
S2024-039,0000320193,AAPL,Apple Inc.,0000320193-24-000123,2024,2024-11-01,1,5,0.19966456353326412,3,0.002297090352220521,25042,1306,success
S2024-040,0000006951,AMAT,Applied Materials,0000006951-24-000044,2024,2024-12-13,1,30,0.7998720204767237,25,0.014501160092807424,37506,1724,success
S2024-041,0001521332,APTV,Aptiv,0001521332-25-000010,2024,2025-02-07,1,9,0.11970791269302901,7,0.0021439509954058193,75183,3265,success
