company_id,source_company_id,sample_order,batch_id,report_date,form,r2_object_key,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version,warning_count,has_single_ai_sentence_warning,has_stem_collision_warning,has_denominator_zero_warning,has_extraction_warning,has_any_warning,has_failed_status,ai_disclosure_flag,panel_start_year,panel_end_year,panel_year_count,is_balanced_2020_2025,has_gap_within_observed_period,ticker_changed_within_panel,company_name_changed_within_panel,cik_changed_within_panel,first_observed_year,last_observed_year,ai_disclosure_flag_lag1,ai_disclosure_flag_change,ai_sentence_count_lag1,ai_sentence_count_change,ai_concreteness_mean_lag1,ai_concreteness_mean_change,report_concreteness_mean_lag1,report_concreteness_mean_change,ai_positive_count_lag1,ai_positive_count_change,ai_negative_count_lag1,ai_negative_count_change,ai_uncertainty_count_lag1,ai_uncertainty_count_change,report_positive_count_lag1,report_positive_count_change,report_negative_count_lag1,report_negative_count_change,report_uncertainty_count_lag1,report_uncertainty_count_change,past_tense_count,present_tense_count,future_tense_count,finite_verb_count,past_tense_share,present_tense_share,future_tense_share,passive_voice_sentence_count,passive_voice_sentence_share,spacy_sentence_count,ai_past_tense_count,ai_present_tense_count,ai_future_tense_count,ai_finite_verb_count,ai_past_tense_share,ai_present_tense_share,ai_future_tense_share,ai_passive_voice_sentence_count,ai_passive_voice_sentence_share,ai_spacy_sentence_count,report_character_count,average_word_length,lexical_density,root_type_token_ratio,type_token_ratio,percentage_expression_count,currency_expression_count,ai_word_count,log_ai_word_count,ai_fog_index,ai_average_sentence_length,ai_complex_word_share,tense_measurement_status,passive_voice_measurement_status,dependency_model,dependency_model_version,extended_measurement_version,log1p_ai_sentence_count,ai_disclosure,whole_report_concreteness,ai_concreteness,fog_index,lm_positive_share,lm_negative_share,lm_uncertainty_share,lm_litigious_share,lm_strong_modal_share,lm_weak_modal_share,lm_constraining_share,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,ai_lm_litigious_share,ai_lm_strong_modal_share,ai_lm_weak_modal_share,ai_lm_constraining_share,numeric_token_share
cik:0000005272,S2013-003,3,1,2013-12-31,10-K,2013/sample_503/html/raw/0000005272/0001047469-14-001096.html,5272,AIG,American International Group,0001047469-14-001096,2013,2014-02-20,1.0.3,0.3.0,1,1,0.00755395,132381,6911,1,0.0001447,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,success,0.0,2.0,0.0,0.03333333,-1.0,0.03333333,-0.03333333,2.0,success,3.04318182,2.715,0.89876879,1.86,4.93,22,33,11,0.66666667,15,4,warning_stem_collisions,2.84074126,2.74,0.78061249,1.19,5.0,53868,72976,19108,0.73816049,2719,12912,warning_stem_collisions,132570,11.79486609,6911,3298,19.18246274,20.82891853,0.04101984,1,0.00754318,38521,0.22514919,10949036,883531,0.08069487,success,859,3285,-0.58542471,2405,0.01916365,598,0.00476502,228,0.00181676,1888,0.01504406,882,0.007028,,,0.00684473,0.02617572,-0.01933099,0.03302045,8740,125498,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,1,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,1887,4413,167,6467,0.2917890830369568,0.6823875057986701,0.0258234111643729,1427,0.3023945751218478,4719,1,0,0,1,1.0,0.0,0.0,1,0.5,2,883070,5.577065399752262,0.6231243238157956,13.383843677618763,0.0374743245997773,18,941,60,4.110873864173311,36.0,60.0,0.3,success,success,en_core_web_sm,3.8.0,1.0.0,0.6931471805599453,1,2.84074126,3.04318182,20.82891853,0.00684473,0.02617572,0.01916365,0.01504406,0.00181676,0.00476502,0.007028,0.0,0.03333333,0.0,0.0,0.0,0.0,0.0,0.04101984
cik:0000006951,S2013-007,7,1,2013-10-27,10-K,2013/sample_503/html/raw/0000006951/0000006951-13-000044.html,6951,AMAT,Applied Materials,0000006951-13-000044,2013,2013-12-04,1.0.3,0.3.0,0,0,0.0,41049,2221,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.88968547,2.78,0.84992435,1.29,5.0,16660,22827,6167,0.72983747,1816,4462,warning_stem_collisions,40917,10.6193009,2221,835,18.42278253,20.86805728,0.03604859,0,0.0,15677,0.27700816,3749342,281999,0.07521293,success,253,665,-0.44880174,583,0.01509307,234,0.00605794,91,0.00235587,218,0.00564372,339,0.00877624,,,0.00654982,0.01721594,-0.01066611,0.02376576,1950,38627,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,636,1491,65,2192,0.2901459854014598,0.6802007299270073,0.0296532846715328,482,0.3375350140056022,1428,0,0,0,0,,,,0,,0,281060,5.734707765204022,0.6310204904604683,15.58304406860987,0.0782317211482723,12,276,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,2.88968547,,20.86805728,0.00654982,0.01721594,0.01509307,0.00564372,0.00235587,0.00605794,0.00877624,,,,,,,,0.03604859
cik:0000007084,S2013-008,8,1,2013-12-31,10-K,2013/sample_503/html/raw/0000007084/0000007084-14-000011.html,7084,ADM,Archer Daniels Midland,0000007084-14-000011,2013,2014-02-26,1.0.3,0.3.0,0,0,0.0,40847,2314,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,3.00779681,2.9,0.85487751,1.29,5.0,16753,22525,5772,0.74375139,1660,3977,warning_stem_collisions,40718,10.61442553,2314,796,17.59636992,20.32502399,0.05427575,0,0.0,13550,0.24968674,4570312,275300,0.06023659,success,196,596,-0.50505051,450,0.01194426,145,0.00384871,32,0.00084937,294,0.00780358,287,0.00761778,,,0.00520239,0.01581951,-0.01061712,0.0210219,1711,37675,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,587,1348,25,1960,0.2994897959183673,0.6877551020408164,0.0127551020408163,443,0.2943521594684385,1505,0,0,0,0,,,,0,,0,274251,5.641470413359873,0.6182043791846548,14.32276192604218,0.0728226869684357,100,695,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,3.00779681,,20.32502399,0.00520239,0.01581951,0.01194426,0.00780358,0.00084937,0.00384871,0.00761778,,,,,,,,0.05427575
cik:0000008818,S2013-009,9,1,2013-12-28,10-K,2013/sample_503/html/raw/0000008818/0001047469-14-001386.html,8818,AVY,Avery Dennison,0001047469-14-001386,2013,2014-02-26,1.0.3,0.3.0,0,0,0.0,11041,580,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.87395427,2.76,0.82638484,1.26,4.96,4155,5575,1420,0.74529148,1088,1107,warning_stem_collisions,11164,9.32044959,580,249,19.24827586,20.4495615,0.02678252,0,0.0,2956,0.20934844,296867,73954,0.24911492,success,72,272,-0.58139535,291,0.02704964,190,0.01766128,26,0.00241681,147,0.01366425,86,0.00799405,,,0.00669269,0.02528351,-0.01859082,0.0319762,846,10758,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,93,396,23,512,0.181640625,0.7734375,0.044921875,128,0.308433734939759,415,0,0,0,0,,,,0,,0,73934,5.515581781301862,0.5771713073944311,17.658220239443995,0.1695555965332841,6,12,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,2.87395427,,20.4495615,0.00669269,0.02528351,0.02704964,0.01366425,0.00241681,0.01766128,0.00799405,,,,,,,,0.02678252
cik:0000012659,S2013-037,37,1,2013-04-30,10-K,2013/sample_503/html/raw/0000012659/0001574842-13-000010.html,12659,HRB,H&R Block,0001574842-13-000010,2013,2013-06-26,1.0.3,0.3.0,0,0,0.0,47081,2424,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.88071964,2.81,0.80276144,1.19,5.0,18287,24414,6127,0.74903744,1858,4301,warning_stem_collisions,46835,10.75438607,2424,717,19.32136964,19.45016155,0.03928686,0,0.0,15286,0.24606816,4374859,303550,0.06938509,success,169,1391,-0.78333333,773,0.01738798,350,0.00787295,92,0.00206946,1043,0.0234614,378,0.00850279,,,0.00380151,0.03128936,-0.02748785,0.03509088,3419,44456,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,635,1861,73,2569,0.2471778902296613,0.7244063838069288,0.0284157259634098,532,0.3026166097838453,1758,0,0,0,0,,,,0,,0,302916,5.369637257300447,0.5898405355514534,14.977966455005914,0.0706358561483886,121,373,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,2.88071964,,19.45016155,0.00380151,0.03128936,0.01738798,0.0234614,0.00206946,0.00787295,0.00850279,,,,,,,,0.03928686
cik:0000024741,S2013-021,21,1,2013-12-31,10-K,2013/sample_503/html/raw/0000024741/0001308179-14-000032.html,24741,GLW,Corning Inc.,0001308179-14-000032,2013,2014-02-10,1.0.3,0.3.0,0,0,0.0,71676,4397,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.98249869,2.86,0.86013511,1.19,5.0,28687,38057,9370,0.75379037,2230,6650,warning_stem_collisions,71919,11.18329576,4397,1353,16.35637935,19.62921058,0.04136598,0,0.0,33704,0.31909717,4058352,478262,0.11784636,success,346,1333,-0.58784991,1023,0.01508027,372,0.00548373,170,0.00250601,701,0.01033359,552,0.00813715,,,0.00510046,0.01965004,-0.01454958,0.0247505,3743,67837,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,1227,2653,143,4023,0.3049962714392245,0.6594581158339547,0.0355456127268207,894,0.3328369322412509,2686,0,0,0,0,,,,0,,0,476523,5.531722141823444,0.5973516642547033,14.34936426129494,0.0545875542691751,267,565,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,2.98249869,,19.62921058,0.00510046,0.01965004,0.01508027,0.01033359,0.00250601,0.00548373,0.00813715,,,,,,,,0.04136598
cik:0000031462,S2013-026,26,1,2013-12-31,10-K,2013/sample_503/html/raw/0000031462/0001104659-14-014489.html,31462,ECL,Ecolab,0001104659-14-014489,2013,2014-02-28,1.0.3,0.3.0,0,0,0.0,15970,1085,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,3.01091727,2.93,0.87462812,1.19,5.0,6443,8740,2297,0.73718535,1456,1724,warning_stem_collisions,16007,9.68078141,1085,285,14.75299539,20.05250952,0.02830012,0,0.0,8251,0.34013521,879292,109576,0.12461844,success,108,292,-0.46,262,0.01702294,122,0.00792671,41,0.00266389,249,0.01617829,120,0.00779676,,,0.00701709,0.01897213,-0.01195504,0.02598921,1004,15391,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,105,607,37,749,0.1401869158878504,0.8104138851802403,0.0493991989319092,175,0.3022452504317789,579,0,0,0,0,,,,0,,0,109054,5.699124162802679,0.6150180319422978,19.30000046714876,0.154881504379186,10,29,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,3.01091727,,20.05250952,0.00701709,0.01897213,0.01702294,0.01617829,0.00266389,0.00792671,0.00779676,,,,,,,,0.02830012
cik:0000031791,S2013-066,66,1,2013-12-29,10-K,2013/sample_503/html/raw/0000031791/0001445305-14-000585.html,31791,PKI,PerkinElmer,0001445305-14-000585,2013,2014-02-25,1.0.3,0.3.0,0,0,0.0,56566,2839,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.85537232,2.81,0.77895812,1.26,5.0,22024,28720,6696,0.76685237,1760,5112,warning_stem_collisions,55887,10.93108707,2839,819,19.68545262,20.49105636,0.05317874,0,0.0,19406,0.25773976,3826585,366998,0.09590745,success,223,979,-0.62895175,874,0.01673176,277,0.00530286,125,0.00239299,415,0.00794471,390,0.00746612,,,0.00426909,0.01874186,-0.01447278,0.02301095,2807,52236,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,1025,1713,116,2854,0.359145059565522,0.6002102312543798,0.0406447091800981,611,0.3203985317252228,1907,0,0,0,0,,,,0,,0,366202,5.463072308475919,0.579561961176404,12.956223991564917,0.0562734629968495,123,769,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,2.85537232,,20.49105636,0.00426909,0.01874186,0.01673176,0.00794471,0.00239299,0.00530286,0.00746612,,,,,,,,0.05317874
cik:0000032604,S2013-028,28,1,2013-09-30,10-K,2013/sample_503/html/raw/0000032604/0000032604-13-000044.html,32604,EMR,Emerson Electric,0000032604-13-000044,2013,2013-11-19,1.0.3,0.3.0,0,0,0.0,8684,573,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,3.05324934,2.93,0.86323371,1.33,5.0,3810,5119,1309,0.74428599,1083,916,warning_stem_collisions,8702,9.07130816,573,235,15.18673647,20.51206019,0.03298092,0,0.0,3239,0.27125031,308883,61185,0.19808471,success,59,118,-0.33333333,130,0.01567965,70,0.00844289,10,0.00120613,79,0.0095284,40,0.00482451,,,0.00711615,0.0142323,-0.00711615,0.02134845,408,8291,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,58,355,7,420,0.1380952380952381,0.8452380952380952,0.0166666666666666,101,0.3279220779220779,308,0,0,0,0,,,,0,,0,61006,5.893723252496434,0.6556110318592487,19.59288751267065,0.213623395149786,2,19,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,3.05324934,,20.51206019,0.00711615,0.0142323,0.01567965,0.0095284,0.00120613,0.00844289,0.00482451,,,,,,,,0.03298092
cik:0000036104,S2013-084,84,1,2013-12-31,10-K,2013/sample_503/html/raw/0000036104/0001193125-14-062530.html,36104,USB,U.S. Bancorp,0001193125-14-062530,2013,2014-02-21,1.0.3,0.3.0,0,0,0.0,11952,720,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.97525561,2.8,0.82584932,1.4,5.0,4812,6560,1748,0.73353659,990,1071,warning_stem_collisions,12096,9.4006301,720,196,16.8,20.37990983,0.03083664,0,0.0,4536,0.27272727,244075,80575,0.33012394,success,42,147,-0.55555556,92,0.00800278,42,0.00365344,46,0.00400139,168,0.01461378,178,0.01548365,,,0.00365344,0.01278706,-0.00913361,0.0164405,662,11496,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,0,0,0,0,0,0,0,0,2013,2013,1,0,0,0,0,0,2013,2013,,,,,,,,,,,,,,,,,,,,,108,381,32,521,0.2072936660268714,0.7312859884836852,0.0614203454894433,128,0.3240506329113924,395,0,0,0,0,,,,0,,0,79917,5.563986803264456,0.6145164090988019,15.868143193117811,0.1478555304740406,0,13,0,0.0,,,,success,success,en_core_web_sm,3.8.0,1.0.0,0.0,0,2.97525561,,20.37990983,0.00365344,0.01278706,0.00800278,0.01461378,0.00400139,0.00365344,0.01548365,,,,,,,,0.03083664
