sample_order,company_id,final_sample_id,ticker,symbol,company_name,security,_company_key,cik,gics_sector,gics_sub_industry,accession_number,primary_document,form,filing_date,report_date,report_year,filing_url,source_manifest,sample_group,batch_id,r2_object_key,universe_order
1,S2023-001,S2023-001,MMM,MMM,3M,3M,cik:0000066740,0000066740,Industrials,Industrial Conglomerates,0000066740-24-000016,mmm-20231231.htm,10-K,2024-02-07,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/66740/000006674024000016/mmm-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000066740/0000066740-24-000016.html,1
2,S2023-002,S2023-002,AOS,AOS,A. O. Smith,A. O. Smith,cik:0000091142,0000091142,Industrials,Building Products,0000091142-24-000041,aos-20231231.htm,10-K,2024-02-13,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/91142/000009114224000041/aos-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000091142/0000091142-24-000041.html,2
3,S2023-003,S2023-003,AES,AES,AES Corporation,AES Corporation,cik:0000874761,0000874761,Utilities,Independent Power Producers & Energy Traders,0000874761-24-000011,aes-20231231.htm,10-K,2024-02-26,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/874761/000087476124000011/aes-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000874761/0000874761-24-000011.html,3
4,S2023-004,S2023-004,APA,APA,APA Corporation,APA Corporation,cik:0001841666,0001841666,Energy,Oil & Gas Exploration & Production,0001784031-24-000003,apa-20231231.htm,10-K,2024-02-22,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1841666/000178403124000003/apa-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001841666/0001784031-24-000003.html,4
5,S2023-005,S2023-005,T,T,AT&T,AT&T,cik:0000732717,0000732717,Communication Services,Integrated Telecommunication Services,0000732717-24-000009,t-20231231.htm,10-K,2024-02-23,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/732717/000073271724000009/t-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000732717/0000732717-24-000009.html,5
6,S2023-006,S2023-006,ABBV,ABBV,AbbVie,AbbVie,cik:0001551152,0001551152,Health Care,Biotechnology,0001551152-24-000011,abbv-20231231.htm,10-K,2024-02-20,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/abbv-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001551152/0001551152-24-000011.html,6
7,S2023-007,S2023-007,ABT,ABT,Abbott Laboratories,Abbott Laboratories,cik:0000001800,0000001800,Health Care,Health Care Equipment,0001628280-24-005348,abt-20231231.htm,10-K,2024-02-16,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1800/000162828024005348/abt-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000001800/0001628280-24-005348.html,7
8,S2023-008,S2023-008,ACN,ACN,Accenture,Accenture,cik:0001467373,0001467373,Information Technology,IT Consulting & Other Services,0001467373-23-000324,acn-20230831.htm,10-K,2023-10-12,2023-08-31,2023,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000324/acn-20230831.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001467373/0001467373-23-000324.html,8
9,S2023-009,S2023-009,ADBE,ADBE,Adobe Inc.,Adobe Inc.,cik:0000796343,0000796343,Information Technology,Application Software,0000796343-24-000006,adbe-20231201.htm,10-K,2024-01-17,2023-12-01,2023,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000796343/0000796343-24-000006.html,9
10,S2023-010,S2023-010,AMD,AMD,Advanced Micro Devices,Advanced Micro Devices,cik:0000002488,0000002488,Information Technology,Semiconductors,0000002488-24-000012,amd-20231230.htm,10-K,2024-01-31,2023-12-30,2023,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000002488/0000002488-24-000012.html,10
11,S2023-011,S2023-011,AFL,AFL,Aflac,Aflac,cik:0000004977,0000004977,Financials,Life & Health Insurance,0000004977-24-000053,afl-20231231.htm,10-K,2024-02-22,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/4977/000000497724000053/afl-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000004977/0000004977-24-000053.html,11
12,S2023-012,S2023-012,A,A,Agilent Technologies,Agilent Technologies,cik:0001090872,0001090872,Health Care,Life Sciences Tools & Services,0001090872-23-000020,a-20231031.htm,10-K,2023-12-20,2023-10-31,2023,https://www.sec.gov/Archives/edgar/data/1090872/000109087223000020/a-20231031.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001090872/0001090872-23-000020.html,12
13,S2023-013,S2023-013,APD,APD,Air Products,Air Products,cik:0000002969,0000002969,Materials,Industrial Gases,0000002969-23-000047,apd-20230930.htm,10-K,2023-11-16,2023-09-30,2023,https://www.sec.gov/Archives/edgar/data/2969/000000296923000047/apd-20230930.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000002969/0000002969-23-000047.html,13
14,S2023-014,S2023-014,ABNB,ABNB,Airbnb,Airbnb,cik:0001559720,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720-24-000006,abnb-20231231.htm,10-K,2024-02-16,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/abnb-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001559720/0001559720-24-000006.html,14
15,S2023-015,S2023-015,AKAM,AKAM,Akamai Technologies,Akamai Technologies,cik:0001086222,0001086222,Information Technology,Internet Services & Infrastructure,0001086222-24-000040,akam-20231231.htm,10-K,2024-02-28,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000040/akam-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001086222/0001086222-24-000040.html,15
16,S2023-016,S2023-016,ALB,ALB,Albemarle Corporation,Albemarle Corporation,cik:0000915913,0000915913,Materials,Specialty Chemicals,0000915913-24-000016,alb-20231231.htm,10-K,2024-02-15,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/915913/000091591324000016/alb-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000915913/0000915913-24-000016.html,16
17,S2023-017,S2023-017,ARE,ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities,cik:0001035443,0001035443,Real Estate,Office REITs,0001035443-24-000072,are-20231231.htm,10-K,2024-01-29,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1035443/000103544324000072/are-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001035443/0001035443-24-000072.html,17
18,S2023-018,S2023-018,ALGN,ALGN,Align Technology,Align Technology,cik:0001097149,0001097149,Health Care,Health Care Supplies,0001097149-24-000011,algn-20231231.htm,10-K,2024-02-28,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000011/algn-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001097149/0001097149-24-000011.html,18
19,S2023-019,S2023-019,ALLE,ALLE,Allegion,Allegion,cik:0001579241,0001579241,Industrials,Building Products,0001579241-24-000006,alle-20231231.htm,10-K,2024-02-20,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/1579241/000157924124000006/alle-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0001579241/0001579241-24-000006.html,19
20,S2023-020,S2023-020,LNT,LNT,Alliant Energy,Alliant Energy,cik:0000352541,0000352541,Utilities,Electric Utilities,0000352541-24-000014,lnt-20231231.htm,10-K,2024-02-16,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/352541/000035254124000014/lnt-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000352541/0000352541-24-000014.html,20
21,S2023-021,S2023-021,ALL,ALL,Allstate,Allstate,cik:0000899051,0000899051,Financials,Property & Casualty Insurance,0000899051-24-000013,all-20231231.htm,10-K,2024-02-21,2023-12-31,2023,https://www.sec.gov/Archives/edgar/data/899051/000089905124000013/all-20231231.htm,2023/sp500_companies.csv,sample_2023,1,2023/sample_500/html/raw/0000899051/0000899051-24-000013.html,21
