company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,lm_report_status
S2020-001,0000066740,MMM,3M,0001558370-21-000737,2020,2021-02-04,1.0.3,0.3.0,345,2515,-0.7587412587412588,1251,0.014059339177343224,360,0.004045853000674309,134,0.0015059563946954373,2216,0.024904472915261856,534,0.006001348617666892,0.0038772757923128793,0.028264778601933018,-0.02438750280962014,0.032142054394245896,6025,88980,success
S2020-002,0000091142,AOS,A. O. Smith,0000091142-21-000025,2020,2021-02-12,1.0.3,0.3.0,104,477,-0.6419965576592083,460,0.01834423353006859,154,0.0061413303557186156,56,0.002233211038443133,238,0.009491146913383314,175,0.00697878449513479,0.0041473919285372465,0.019022172595310256,-0.01487478066677301,0.023169564523847504,1400,25076,success
S2020-003,0000874761,AES,AES Corporation,0000874761-21-000015,2020,2021-02-25,1.0.3,0.3.0,526,1663,-0.5194152581087255,1515,0.016046349058402357,561,0.005941915393903446,258,0.0027326455822229753,1298,0.013747961107462877,886,0.009384201495540916,0.00557120765988095,0.017613913190840342,-0.012042705530959392,0.023185120850721292,5726,94414,success
S2020-004,0000732717,T,AT&T,0000732717-21-000012,2020,2021-02-25,1.0.3,0.3.0,288,675,-0.40186915887850466,629,0.011903635434605703,263,0.00497719573815787,135,0.0025548343142635455,507,0.009594822202456426,401,0.007588804148293938,0.00545031320376223,0.012774171571317727,-0.007323858367555496,0.018224484775079958,2494,52841,success
S2020-005,0001551152,ABBV,AbbVie,0001551152-21-000008,2020,2021-02-19,1.0.3,0.3.0,352,907,-0.44082605242255757,824,0.01801250382547108,351,0.007672801993616928,136,0.002972937524592314,676,0.014777248284002974,350,0.0076509421588772785,0.007694661828356578,0.01982687010886198,-0.012132208280505399,0.027521531937218555,3016,45746,success
S2020-006,0000001800,ABT,Abbott Laboratories,0001104659-21-025751,2020,2021-02-19,1.0.3,0.3.0,169,558,-0.5350756533700137,571,0.01634510791778783,185,0.005295700463731608,85,0.0024331596725253334,373,0.010677277151199404,293,0.008387244518234385,0.004837693937138604,0.01597297761493101,-0.011135283677792408,0.02081067155206962,1907,34934,success
S2020-007,0001467373,ACN,Accenture,0001467373-20-000376,2020,2020-10-22,1.0.3,0.3.0,360,828,-0.3939393939393939,795,0.02161559585633106,444,0.012072106365045271,73,0.001984828298757443,528,0.014356018380053836,294,0.007993692052529977,0.009788194350036706,0.02251284700508442,-0.012724652655047717,0.03230104135512113,2755,36779,success
S2020-008,0000796343,ADBE,Adobe Inc.,0000796343-21-000004,2020,2021-01-15,1.0.3,0.3.0,623,984,-0.22464219041692596,886,0.016099138714249374,439,0.007976887015299633,101,0.0018352291310826034,490,0.008903586873569066,356,0.006468728422429771,0.011320274739252099,0.017879856088963187,-0.0065595813497110874,0.029200130828215286,3264,55034,success
S2020-009,0000002488,AMD,Advanced Micro Devices,0001628280-21-001185,2020,2021-01-29,1.0.3,0.3.0,367,1202,-0.5321861057998726,894,0.019151670951156812,524,0.011225364181662383,148,0.003170522707797772,488,0.010454155955441302,362,0.007754927163667524,0.00786203941730934,0.025749785775492716,-0.017887746358183375,0.03361182519280206,3219,46680,success
S2020-010,0000004977,AFL,Aflac,0000004977-21-000047,2020,2021-02-23,1.0.3,0.3.0,396,1272,-0.5251798561151079,1253,0.01692739996217341,405,0.005471346356488611,187,0.002526275972008322,629,0.008497473724027992,467,0.006308935181432547,0.005349760881899976,0.017184080408527196,-0.011834319526627219,0.02253384129042717,3945,74022,success
S2020-011,0001090872,A,Agilent Technologies,0001090872-20-000020,2020,2020-12-18,1.0.3,0.3.0,351,928,-0.4511336982017201,910,0.016063548102383054,426,0.007519858781994704,120,0.002118270079435128,568,0.010026478375992938,474,0.008367166813768756,0.006195939982347749,0.01638128861429832,-0.010185348631950574,0.022577228596646074,3178,56650,success
S2020-012,0000002969,APD,Air Products,0000002969-20-000049,2020,2020-11-19,1.0.3,0.3.0,205,784,-0.5854398382204247,815,0.01727243827487549,288,0.006103634629649253,66,0.0013987496026279537,569,0.012058917028716754,395,0.008371304439970329,0.004344601038465614,0.0166154498251563,-0.012270848786690686,0.020960050863621914,2679,47185,success
S2020-013,0001086222,AKAM,Akamai Technologies,0001086222-21-000075,2020,2021-02-26,1.0.3,0.3.0,317,726,-0.39213806327900286,692,0.016545524100994646,332,0.007938026013771997,89,0.00212796480489671,409,0.009779074215761286,313,0.007483741392501912,0.00757938026013772,0.017358454475899007,-0.009779074215761286,0.024937834736036724,2441,41824,success
S2020-014,0000766421,ALK,Alaska Air Group,0000766421-21-000018,2020,2021-02-26,1.0.3,0.3.0,253,679,-0.4570815450643777,634,0.015277844715407971,252,0.006072581811171623,148,0.003566436936719842,338,0.008144970841968288,331,0.007976288013880187,0.006096679358041352,0.01636223432454576,-0.01026555496650441,0.022458913682587112,2230,41498,success
S2020-015,0000915913,ALB,Albemarle Corporation,0000915913-21-000018,2020,2021-02-19,1.0.3,0.3.0,336,1044,-0.5130434782608696,1088,0.01821560715900149,493,0.00825394699392255,135,0.0022602086088834568,625,0.01046392874483082,503,0.008421369853839844,0.005625408093221048,0.0174789465753654,-0.011853538482144352,0.023104354668586447,3555,59729,success
