company_id,source_company_id,sample_order,batch_id,report_date,form,r2_object_key,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version,warning_count,has_single_ai_sentence_warning,has_stem_collision_warning,has_denominator_zero_warning,has_extraction_warning,has_any_warning,has_failed_status,ai_disclosure_flag,panel_start_year,panel_end_year,panel_year_count,is_balanced_2020_2025,has_gap_within_observed_period,ticker_changed_within_panel,company_name_changed_within_panel,cik_changed_within_panel,first_observed_year,last_observed_year,ai_disclosure_flag_lag1,ai_disclosure_flag_change,ai_sentence_count_lag1,ai_sentence_count_change,ai_concreteness_mean_lag1,ai_concreteness_mean_change,report_concreteness_mean_lag1,report_concreteness_mean_change,ai_positive_count_lag1,ai_positive_count_change,ai_negative_count_lag1,ai_negative_count_change,ai_uncertainty_count_lag1,ai_uncertainty_count_change,report_positive_count_lag1,report_positive_count_change,report_negative_count_lag1,report_negative_count_change,report_uncertainty_count_lag1,report_uncertainty_count_change
cik:0000001800,S2020-006,6,1,2020-12-31,10-K,2020/sample_500/html/raw/0000001800/0001104659-21-025751.html,0000001800,ABT,Abbott Laboratories,0001104659-21-025751,2020,2021-02-19,1.0.3,0.3.0,0,0,0.0,37825,2188,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.89931437,2.81,0.78696122,1.3,5.0,14906,20633,5727,0.72243493,1651,3906,warning_stem_collisions,37531,10.53292254,2188,807,17.15310786,19.8568179,0.05203698,0,0.0,14598,0.28003606,4280199,255025,0.05958251,success,169,558,-0.53507565,571,0.01634511,185,0.0052957,85,0.00243316,373,0.01067728,293,0.00838724,,,0.00483769,0.01597298,-0.01113528,0.02081067,1907,34934,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,2,0,1,1,0,1,0,0,2020,2025,6,1,0,0,0,0,2020,2025,,,,,,,,,,,,,,,,,,,,
cik:0000001800,S2021-007,7,1,2021-12-31,10-K,2021/sample_500/html/raw/0000001800/0001104659-22-025141.html,0000001800,ABT,Abbott Laboratories,0001104659-22-025141,2021,2022-02-18,1.0.3,0.3.0,0,0,0.0,39587,2215,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.89662205,2.81,0.78391942,1.29,5.0,15465,21577,6112,0.71673541,1673,4105,warning_stem_collisions,39377,10.58093717,2215,800,17.77742664,19.99134394,0.05246718,0,0.0,13865,0.26041471,4169789,267748,0.0642114,success,192,613,-0.52298137,632,0.01726776,192,0.0052459,85,0.0023224,424,0.0115847,305,0.00833333,,,0.0052459,0.01674863,-0.01150273,0.02199454,2085,36600,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,2,0,1,1,0,1,0,0,2020,2025,6,1,0,0,0,0,2020,2025,0,0,0,0,,,2.89931437,-0.0026923199999999703,,,,,,,169,23,558,55,571,61
cik:0000001800,S2022-007,7,1,2022-12-31,10-K,2022/sample_500/html/raw/0000001800/0001628280-23-004026.html,0000001800,ABT,Abbott Laboratories,0001628280-23-004026,2022,2023-02-17,1.0.3,0.3.0,0,0,0.0,36480,1977,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.91774536,2.82,0.7914398,1.29,5.0,14326,20183,5857,0.70980528,1865,3724,warning_stem_collisions,36195,10.49667627,1977,869,18.30804249,19.88111885,0.04743749,0,0.0,10296,0.22146222,3412193,249203,0.07303309,success,175,623,-0.56140351,547,0.01618247,207,0.0061239,85,0.00251464,411,0.01215904,256,0.00757352,,,0.00517721,0.01843086,-0.01325365,0.02360807,1948,33802,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,2,0,1,1,0,1,0,0,2020,2025,6,1,0,0,0,0,2020,2025,0,0,0,0,,,2.89662205,0.021123310000000117,,,,,,,192,-17,613,10,632,-85
cik:0000001800,S2023-007,7,1,2023-12-31,10-K,2023/sample_500/html/raw/0000001800/0001628280-24-005348.html,0000001800,ABT,Abbott Laboratories,0001628280-24-005348,2023,2024-02-16,1.0.3,0.3.0,0,0,0.0,38051,2018,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.9006255,2.8,0.78590203,1.29,5.0,15028,21130,6102,0.71121628,1903,3847,warning_stem_collisions,37779,10.53950867,2018,858,18.7210109,20.16374388,0.04579264,0,0.0,10233,0.21313422,2675005,261155,0.09762785,success,187,699,-0.5778781,600,0.01698995,214,0.00605975,88,0.00249186,431,0.01220445,265,0.00750389,,,0.0052952,0.01979329,-0.01449809,0.02508849,2117,35315,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,2,0,1,1,0,1,0,0,2020,2025,6,1,0,0,0,0,2020,2025,0,0,0,0,,,2.91774536,-0.01711986000000021,,,,,,,175,12,623,76,547,53
cik:0000001800,S2024-007,7,1,2024-12-31,10-K,2024/sample_500/html/raw/0000001800/0001628280-25-007110.html,0000001800,ABT,Abbott Laboratories,0001628280-25-007110,2024,2025-02-21,1.0.3,0.3.0,0,0,0.0,37415,1989,0,0.0,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.90496733,2.82,0.7869606,1.3,5.0,14845,20798,5953,0.71377055,1909,3789,warning_stem_collisions,37084,10.52094089,1989,841,18.644545,20.1092291,0.04500593,0,0.0,9759,0.20833422,2662583,256348,0.09627794,success,200,711,-0.56092206,565,0.01627445,213,0.00613532,84,0.00241956,451,0.01299075,270,0.00777717,,,0.00576087,0.02047988,-0.01471901,0.02624075,2113,34717,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,2,0,1,1,0,1,0,0,2020,2025,6,1,0,0,0,0,2020,2025,0,0,0,0,,,2.9006255,0.004341829999999991,,,,,,,187,13,699,12,600,-35
cik:0000001800,S2025-203,203,3,2025-12-31,10-K,2025/sample_300/html/raw/0000001800/0001628280-26-010185.html,0000001800,ABT,Abbott Laboratories,0001628280-26-010185,2025,2026-02-20,1.0.3,0.3.0,1,1,0.02756416,36279,1962,1,0.00050968,success,1,0.02272727,0,0.0,1,0.02272727,0,0.0,0,0.0,44,success,0,2,0.0,0.04545455,-1.0,0.04545455,-0.04545455,3,success,2.739,2.74,0.63403391,1.81,4.34,20,24,4,0.83333333,17,3,warning_stem_collisions,2.90490204,2.82,0.79223121,1.3,5.0,14394,20232,5838,0.71144721,1888,3730,warning_stem_collisions,35932,10.48938354,1962,819,18.31396534,20.06620814,0.04505733,1,0.02783035,9663,0.21193113,2656022,248714,0.09364154,success,199,673,-0.54357798,525,0.01560596,196,0.00582622,90,0.00267531,470,0.01397105,268,0.00796647,,,0.0059154,0.02000535,-0.01408995,0.02592075,2066,33641,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,2,1,1,0,0,1,0,1,2020,2025,6,1,0,0,0,0,2020,2025,0,1,0,1,,,2.90496733,-6.528999999977358e-05,,,,,,,200,-1,711,-38,565,-40
cik:0000002488,S2020-009,9,1,2020-12-26,10-K,2020/sample_500/html/raw/0000002488/0001628280-21-001185.html,0000002488,AMD,Advanced Micro Devices,0001628280-21-001185,2020,2021-01-29,1.0.3,0.3.0,1,15,0.30604125,49013,2216,13,0.00586643,success,0,0.0,0,0.0,0,0.0,0,0.0,2,0.00597015,335,success,1,0,0.00298507,0.0,1.0,0.00298507,0.00298507,3,success,3.24040268,3.18,0.80419527,1.41,4.7,149,209,60,0.71291866,85,23,warning_stem_collisions,2.92993056,2.85,0.83673012,1.19,5.0,18720,25665,6945,0.72939801,2153,4539,warning_stem_collisions,49008,10.79973883,2216,885,22.11552347,20.68855369,0.0320968,15,0.30607248,8222,0.14366591,2403831,323755,0.13468293,success,367,1202,-0.53218611,894,0.01915167,524,0.01122536,148,0.00317052,488,0.01045416,362,0.00775493,,,0.00786204,0.02574979,-0.01788775,0.03361183,3219,46680,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,1,0,1,0,0,1,0,1,2020,2025,6,1,0,0,0,0,2020,2025,,,,,,,,,,,,,,,,,,,,
cik:0000002488,S2021-011,11,1,2021-12-25,10-K,2021/sample_500/html/raw/0000002488/0000002488-22-000016.html,0000002488,AMD,Advanced Micro Devices,0000002488-22-000016,2021,2022-02-03,1.0.3,0.3.0,1,17,0.36607162,46439,2083,13,0.006241,success,0,0.0,0,0.0,0,0.0,0,0.0,1,0.003125,320,success,0,0,0.0,0.0,,0.0,0.0,1,success,3.24979021,3.14,0.82096521,1.62,4.7,143,221,78,0.64705882,77,23,warning_stem_collisions,2.91721382,2.85,0.83292008,1.19,5.0,17795,24360,6565,0.73050082,2122,4405,warning_stem_collisions,46435,10.74580876,2083,814,22.29236678,20.74884544,0.03131259,17,0.36610315,7571,0.14018813,2224329,307580,0.1382799,success,329,1205,-0.57105606,879,0.01985095,530,0.01196929,137,0.00309395,473,0.01068202,364,0.00822042,,,0.00742999,0.02721319,-0.0197832,0.03464318,3154,44280,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,1,0,1,0,0,1,0,1,2020,2025,6,1,0,0,0,0,2020,2025,1,0,13,0,3.24040268,0.009387530000000144,2.92993056,-0.012716739999999671,1,-1,0,0,0,0,367,-38,1202,3,894,-15
cik:0000002488,S2022-010,10,1,2022-12-31,10-K,2022/sample_500/html/raw/0000002488/0000002488-23-000047.html,0000002488,AMD,Advanced Micro Devices,0000002488-23-000047,2022,2023-02-27,1.0.3,0.3.0,1,17,0.33616104,50571,2300,13,0.00565217,success,1,0.0026455,1,0.0026455,1,0.0026455,0,0.0,1,0.0026455,378,success,7,1,0.01851852,0.0026455,0.75,0.02116402,0.01587302,11,success,3.10205882,3.04,0.88469396,1.33,4.9,170,263,93,0.64638783,115,33,warning_stem_collisions,2.909737,2.83,0.83102366,1.19,5.0,19392,26894,7502,0.72105302,2133,4902,warning_stem_collisions,50572,10.83115334,2300,922,21.98782609,20.91905565,0.03003638,17,0.33615439,9010,0.15122017,2648242,336983,0.12724781,success,334,1121,-0.54089347,994,0.02059634,556,0.01152069,140,0.00290089,366,0.00758376,390,0.00808106,,,0.0069207,0.02322787,-0.01630716,0.03014857,3131,48261,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,1,0,1,0,0,1,0,1,2020,2025,6,1,0,0,0,0,2020,2025,1,0,13,0,3.24979021,-0.14773139000000013,2.91721382,-0.007476820000000384,0,7,0,1,0,1,329,5,1205,-84,879,115
cik:0000002488,S2023-010,10,1,2023-12-30,10-K,2023/sample_500/html/raw/0000002488/0000002488-24-000012.html,0000002488,AMD,Advanced Micro Devices,0000002488-24-000012,2023,2024-01-31,1.0.3,0.3.0,1,105,2.0868943,50314,2238,71,0.03172475,success,36,0.01410658,20,0.00783699,27,0.01057994,10,0.0039185,10,0.0039185,2552,success,38,34,0.01489028,0.01332288,0.05555556,0.02821317,0.0015674,143,success,2.95860443,2.89,0.85619617,1.3,5.0,1039,1597,558,0.65059487,440,277,warning_stem_collisions,2.91095169,2.85,0.83316193,1.19,5.0,19271,26964,7693,0.71469367,2170,4969,warning_stem_collisions,50382,10.82738925,2238,883,22.51206434,21.16447091,0.02768846,105,2.08407765,9068,0.15253154,2130305,336335,0.15788115,success,335,1095,-0.53146853,1036,0.02148976,593,0.01230061,127,0.00263436,380,0.00788235,398,0.00825572,,,0.00694891,0.0227136,-0.01576469,0.02966251,3182,48209,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0,1,0,1,0,0,1,0,1,2020,2025,6,1,0,0,0,0,2020,2025,1,0,13,58,3.10205882,-0.14345439000000004,2.909737,0.0012146900000002958,7,31,1,33,1,35,334,1,1121,-26,994,42
