company_id,cik_first,ticker_first,ticker_last,company_name_first,company_name_last,first_observed_year,last_observed_year,panel_year_count,is_balanced_2020_2025,has_gap_within_observed_period,ticker_changed_within_panel,company_name_changed_within_panel,cik_changed_within_panel,observed_years
cik:0000001800,0000001800,ABT,ABT,Abbott Laboratories,Abbott Laboratories,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000002488,0000002488,AMD,AMD,Advanced Micro Devices,Advanced Micro Devices,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000002969,0000002969,APD,APD,Air Products,Air Products,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000004127,0000004127,SWKS,SWKS,Skyworks Solutions,Skyworks Solutions,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000004281,0000004281,HWM,HWM,Howmet Aerospace,Howmet Aerospace,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000004904,0000004904,AEP,AEP,American Electric Power,American Electric Power,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000004962,0000004962,AXP,AXP,American Express,American Express,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000004977,0000004977,AFL,AFL,Aflac,Aflac,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000005272,0000005272,AIG,AIG,American International Group,American International Group,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000005513,0000005513,UNM,UNM,Unum,Unum,2020,2020,1,0,0,0,0,0,2020
cik:0000006201,0000006201,AAL,AAL,American Airlines Group,American Airlines Group,2020,2023,4,0,0,0,0,0,2020|2021|2022|2023
cik:0000006281,0000006281,ADI,ADI,Analog Devices,Analog Devices,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000006951,0000006951,AMAT,AMAT,Applied Materials,Applied Materials,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000007084,0000007084,ADM,ADM,Archer Daniels Midland,Archer Daniels Midland,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000008670,0000008670,ADP,ADP,Automatic Data Processing,Automatic Data Processing,2020,2025,6,1,0,0,0,0,2020|2021|2022|2023|2024|2025
cik:0000008818,0000008818,AVY,AVY,Avery Dennison,Avery Dennison,2021,2025,4,0,1,0,0,0,2021|2023|2024|2025
