variable,report_year,paired_firm_count,mean_within_firm_change,median_within_firm_change,standard_deviation,p25,p75
whole_report_concreteness,2007,12,-0.002390139166666675,0.007272879999999926,0.025019897294321414,-0.010651534999999934,0.010774030000000101
whole_report_concreteness,2008,20,-0.004933352500000066,-0.0052422950000001745,0.016645610925901624,-0.013949557500000154,0.0014869374999998408
whole_report_concreteness,2009,33,-0.00570984272727267,-0.006800659999999681,0.015207153551558437,-0.017137760000000224,0.0030044199999998966
whole_report_concreteness,2010,39,-0.001657321025641047,0.0009735699999997571,0.021423032649478937,-0.006542840000000272,0.007317620000000025
whole_report_concreteness,2011,43,-0.006605177906976771,-0.0027899300000000515,0.015500872538069543,-0.014263860000000239,0.001786489999999974
whole_report_concreteness,2012,49,-0.00020794775510198633,-0.002638209999999752,0.011114289216002915,-0.006913899999999806,0.004918330000000193
whole_report_concreteness,2013,67,-0.0015766583582089793,-0.0010821700000001044,0.014329155908724854,-0.007701894999999848,0.004136139999999955
whole_report_concreteness,2014,90,-0.0033788536666666887,-0.0007174000000000902,0.0131502420198852,-0.006597057500000059,0.0035398800000000508
whole_report_concreteness,2015,131,-0.005709404198473282,-0.0034035199999999932,0.013136727654629922,-0.010054929999999906,0.0010243699999998856
whole_report_concreteness,2016,171,-0.004038510292397672,-0.0034330499999999375,0.013755065161620027,-0.009556200000000015,0.0026800000000000157
whole_report_concreteness,2017,239,-0.003080687907949782,-0.002138530000000305,0.01360275199092502,-0.008456459999999888,0.002567744999999899
whole_report_concreteness,2018,306,-0.0028904433333333266,-0.0017117300000000224,0.014070428158194273,-0.00804653749999984,0.0034131149999998556
whole_report_concreteness,2019,373,-0.0034962254155496164,-0.0028426000000001395,0.014817102182370099,-0.008957920000000286,0.0035365400000002545
whole_report_concreteness,2020,424,-0.004133377948113199,-0.0033936000000001076,0.01364387264659538,-0.010195929999999853,0.0031455349999998106
whole_report_concreteness,2021,434,-0.0005968604147465465,-0.0002223649999997246,0.010695452432039168,-0.006112097499999969,0.005411130000000264
whole_report_concreteness,2022,452,-0.0002133648451327318,0.0001683700000001398,0.010699266622823955,-0.004563344999999885,0.005172767500000175
whole_report_concreteness,2023,458,-0.002664527510917028,-0.0024492849999999677,0.008618229831892445,-0.007339714999999969,0.002645387499999874
whole_report_concreteness,2024,465,-0.0029445221505376338,-0.0024322300000001462,0.00823246476957346,-0.00700553000000026,0.0017701099999998249
whole_report_concreteness,2025,462,-0.0032043360389610452,-0.002508584999999952,0.008159019679623078,-0.007220829999999956,0.00159697999999997
past_tense_share,2007,12,0.0063285113216001755,0.007558254969264572,0.031067256728166435,-0.013494317659078464,0.026398078889894615
past_tense_share,2008,20,-0.00915581598853855,-0.010045973106081657,0.030912606877507295,-0.014842551395826409,0.0003864315601632695
past_tense_share,2009,33,0.0001405991212911439,-0.0015447362958079247,0.02189418706277918,-0.012569130216188995,0.013033306684212612
past_tense_share,2010,39,-0.007059918060424804,-0.003221296194758194,0.025106859086228187,-0.0138047544803198,0.004063222394059249
